종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"402340","SK스퀘어","KOSPI",,"87200","-4400","-4.80","90300","90600","86100","327991","29042419600","11645390483200","133548056"
"260870","SK시그넷","KONEX","일반기업부","15400","-540","-3.39","15940","15980","15220","4642","71905880","94590034000","6142210"
"361610","SK아이이테크놀로지","KOSPI",,"21350","850","4.15","20150","22000","20150","231947","4935726400","1522203589200","71297592"
"100090","SK오션플랜트","KOSPI",,"13450","660","5.16","12840","13590","12300","142077","1889502325","796180389600","59195568"
"03473K","SK우","KOSPI",,"114200","-1200","-1.04","112600","116200","112600","1550","178124000","64652617000","566135"
"096770","SK이노베이션","KOSPI",,"104300","1600","1.56","101800","106000","100800","334954","34762433350","15752927136800","151034776"
"096775","SK이노베이션우","KOSPI",,"70700","-400","-0.56","71000","72200","67300","5608","396340900","88263718200","1248426"
"475150","SK이터닉스","KOSPI",,"14380","200","1.41","13920","14600","13920","257211","3669099085","485383123960","33754042"
"001510","SK증권","KOSPI",,"447","1","0.22","444","454","441","563933","251976886","211247806437","472590171"
"001515","SK증권우","KOSPI",,"1660","20","1.22","1667","1667","1658","2680","4447125","6494773240","3912514"
"285130","SK케미칼","KOSPI",,"37450","300","0.81","36250","38200","36250","45354","1693248025","646154173350","17253783"
"28513K","SK케미칼우","KOSPI",,"18910","160","0.85","18750","19080","18670","1089","20475495","40002762390","2115429"
"017670","SK텔레콤","KOSPI",,"55800","100","0.18","55700","56000","55500","344931","19225493850","11985284957400","214790053"
"000660","SK하이닉스","KOSPI",,"180100","-14500","-7.45","187900","189600","178400","8134044","1495529298500","131113225936500","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1393","29","2.13","1355","1410","1355","170446","235610017","134723465660","96714620"
"063440","SM Life Design","KOSDAQ","중견기업부","1396","25","1.82","1358","1417","1355","401452","559145031","64256698984","46029154"
"003570","SNT다이내믹스","KOSPI",,"29150","-950","-3.16","30050","31000","28750","72971","2182026050","969316117550","33252697"
"064960","SNT모티브","KOSPI",,"26700","-350","-1.29","26950","27200","26500","68709","1840808625","708625262400","26540272"
"100840","SNT에너지","KOSPI",,"31150","-1450","-4.45","31800","32850","29550","137089","4327138175","644206390450","20680783"
"036530","SNT홀딩스","KOSPI",,"31700","-1550","-4.66","33500","33500","31450","23990","771525350","516833186200","16303886"
"067160","SOOP","KOSDAQ GLOBAL","우량기업부","85500","-1500","-1.72","86600","88200","85000","73767","6379243700","982802578500","11494767"
"005610","SPC삼립","KOSPI",,"68500","1700","2.54","66100","68800","65300","116865","7880238050","591087116500","8629009"
"011810","STX","KOSPI",,"3630","-55","-1.49","3720","3740","3595","40753","148811678","112595075010","31017927"
"465770","STX그린로지스","KOSPI",,"9400","-370","-3.79","9760","10140","9200","595813","5799073490","67407700800","7171032"
"077970","STX엔진","KOSPI",,"20200","-500","-2.42","20300","20950","19900","189188","3833464395","464779860800","23008904"
"002820","SUN&L","KOSPI",,"3005","10","0.33","2995","3050","2800","13141","37993745","37887006945","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","1311","2","0.15","1298","1321","1290","65936","85970326","70627627545","53873095"
"084870","TBH글로벌","KOSPI",,"1150","6","0.52","1149","1154","1144","7588","8718712","23985341850","20856819"
"002710","TCC스틸","KOSPI",,"21150","750","3.68","19980","21550","19720","177388","3694418870","554419691550","26213697"
"089230","THE E&M","KOSDAQ","중견기업부","768","-11","-1.41","732","778","731","191776","144137009","18687707904","24332953"
"032540","TJ미디어","KOSDAQ","우량기업부","4690","10","0.21","4775","4790","4625","10886","51258980","65339246210","13931609"
"022220","TKG애강","KOSDAQ","우량기업부","895","31","3.59","864","897","855","75461","66127354","46356148205","51794579"
"069260","TKG휴켐스","KOSPI",,"15390","130","0.85","15200","15480","15040","58754","900292235","629121469320","40878588"
"007980","TP","KOSPI",,"1343","63","4.92","1270","1347","1248","257564","337780346","68728199590","51175130"
"048770","TPC","KOSDAQ","벤처기업부","2005","-15","-0.74","2040","2040","1951","7201","14436303","31474471955","15697991"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","1092","28","2.63","1064","1125","1034","419545","453123055","45293825304","41477862"
"317240","TS트릴리온","KOSDAQ","중견기업부","274","11","4.18","252","275","250","1756272","459263118","29384012628","107240922"
"002900","TYM","KOSPI",,"4410","10","0.23","4270","4480","4210","100517","441271295","198674715960","45050956"
"024070","WISCOM","KOSPI",,"1980","-8","-0.40","1988","2100","1962","71086","143889460","30346347240","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","4030","325","8.77","3640","4265","3640","920231","3669037600","65740168910","16312697"
"037270","YG PLUS","KOSPI",,"5210","100","1.96","5210","5320","5070","1456215","7573565125","330467226100","63429410"
"040300","YTN","KOSDAQ","우량기업부","3195","-265","-7.66","3545","3565","3055","1607245","5369741102","134190000000","42000000"
"051390","YW","KOSDAQ","벤처기업부","3595","-5","-0.14","3600","3605","3590","1060","3812235","40822547960","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4710","-910","-16.19","5790","6150","4290","18377756","100975579934","108330000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","18950","0","0.00","18680","18990","18680","44350","835558605","256501211800","13535684"
"078890","가온그룹","KOSDAQ","중견기업부","2760","50","1.85","2665","2760","2620","19228","52376001","48564344520","17595777"
"000500","가온전선","KOSPI",,"39500","0","0.00","38900","41200","38500","63011","2512661750","653453042500","16543115"
"399720","가온칩스","KOSDAQ","벤처기업부","38700","50","0.13","37400","40450","37400","55121","2137630025","448816284000","11597320"
